title,title_english,type,source,episodes,status
Oppai Heart: Kanojo wa Kedamono Hatsujouki!?,,OVA,Visual novel,2,Finished Airing
Denshin Denrei Denwa,"Electrical Telegraphy, Electric Bells and Telephones",Movie,Original,1,Finished Airing
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,Winter Cup Highlights Episode 1 – Winter Cup Highlights -Shadow and Light-,Movie,Manga,1,Finished Airing
Circles,,Music,Music,1,Finished Airing
Ayatsuri Haramase DreamNote,,OVA,Visual novel,2,Finished Airing
Tsukipro The Animation 2nd Season,,TV,Music,0,Not yet aired
Onnanoko tte.,,Special,Unknown,4,Finished Airing
Stella no Mahou,Magic of Stella,TV,4-koma manga,12,Finished Airing
Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,,Movie,Unknown,1,Finished Airing
Hamidashi CoroCoro,,ONA,Original,6,Finished Airing
Yama Hime no Mi,,OVA,Manga,3,Finished Airing
Mouretsu Atarou,,TV,Manga,90,Finished Airing
Kimoshiba 2,,TV,Original,13,Finished Airing
Anisava,,TV,Unknown,13,Finished Airing
Tom Sawyer no Bouken Specials,,Special,Unknown,2,Finished Airing
Chio-chan no Tsuugakuro,,TV,Manga,0,Not yet aired
Natsu no Arashi!,,TV,Manga,13,Finished Airing
Stella no Mahou Specials,,Special,4-koma manga,2,Finished Airing
Minikui Ahiru no Ko,,Movie,Book,1,Finished Airing
Shiroi Zou (1981),,Movie,Other,1,Finished Airing
Azuki-chan the Movie,,Movie,Manga,1,Finished Airing
Garo: Honoo no Kokuin - Yurugaro,,Special,Original,23,Finished Airing
Suzumiya Haruhi-chan no Yuuutsu,The Melancholy of Haruhi-chan Suzumiya,ONA,4-koma manga,25,Finished Airing
Plastic Memories,Plastic Memories,TV,Original,13,Finished Airing
Kidou Keisatsu Patlabor: On Television,Patlabor: The Mobile Police - The TV Series,TV,Original,47,Finished Airing
Ashinaga Ojisan,Daddy Long-Legs,Special,Unknown,1,Finished Airing
Zero Seiki Movie 2: Herlock,,Movie,Manga,1,Not yet aired
Kaiketsu Zorori,Kaiketsu Zorori,OVA,Picture book,1,Finished Airing
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Winter Cup Highlights Episode 3 – Winter Cup Highlights -Crossing the Door-,Movie,Manga,1,Finished Airing
Yowamushi Chinsengumi,,Movie,Original,1,Finished Airing
Tennis no Ouji-sama: The Band of Princes Film Kick the Future,,Music,Unknown,1,Finished Airing
Lady Jewelpet,,TV,Original,52,Finished Airing
Parol no Miraijima,Paroru&#039;s Future Island,Movie,Unknown,1,Finished Airing
Patalliro Saiyuuki!,,TV,Unknown,26,Finished Airing
Miracle☆Girls,,TV,Manga,51,Finished Airing
Anemone,,OVA,Unknown,1,Finished Airing
Shinkyoku Soukai Polyphonica,Polyphonica,TV,Visual novel,12,Finished Airing
Sakigake!! Otokojuku Movie,Charge!! Men&#039;s Private School,Movie,Unknown,1,Finished Airing
Wake Up,,Music,Music,1,Finished Airing
Kyuuketsuhime Miyu,Vampire Princess Miyu,OVA,Manga,4,Finished Airing
Kuroko no Basket: Mou Ikkai Yarimasen ka,,Special,Manga,1,Finished Airing
Strait Jacket,,OVA,Light novel,3,Finished Airing
Kanojo ga Nekomimi ni Kigaetara,,OVA,Manga,1,Finished Airing
Dekobou Shingachou: Meian no Shippai,,Movie,Original,1,Finished Airing
"Fly, Space Battleship Geobukseon",,Movie,Unknown,1,Finished Airing
Kenzen Robo Daimidaler,Daimidaler: Prince vs. Penguin Empire,TV,Manga,12,Finished Airing
Yokoyama Mitsuteru Sangokushi,,TV,Manga,47,Finished Airing
Gakuen Sodom,Professor Pain,OVA,Unknown,2,Finished Airing
Saishuu Chikan Densha,Midnight Sleazy Train,OVA,Visual novel,3,Finished Airing
Boku no Chikyuu wo Mamotte: Kiniro no Toki Nasarete,Please Save My Earth: The Passing of the Golden Age,Special,Unknown,1,Finished Airing
Tokyo Godfathers,Tokyo Godfathers,Movie,Original,1,Finished Airing
Shin Kyojin no Hoshi,,TV,Unknown,52,Finished Airing
Bibury,Bibury,ONA,Original,1,Finished Airing
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Card Captor Sakura Movie 2: The Sealed Card,Movie,Manga,1,Finished Airing
Chang,,Movie,Unknown,1,Finished Airing
Cofun Gal no Coffy Campus Life,Tumulus Gal Coffy Campus Life,TV,Unknown,11,Finished Airing
Bi-chiku Beach: Nangoku Nyuujoku Satsueikai,,OVA,Visual novel,1,Finished Airing
Guitar,,Movie,Unknown,1,Finished Airing
Takara-sagashi,Treasure Hunting,Movie,Picture book,1,Finished Airing
Fuku-chan no Sensuikan,,Movie,Other,1,Finished Airing
Recorder to Randoseru Do♪,Recorder and Randsell,TV,Manga,13,Finished Airing
The Hakkenden,The Hakkenden: Legend of the Dog Warriors,OVA,Novel,6,Finished Airing
Kokkoku,Kokkoku,TV,Manga,12,Finished Airing
Aishite Knight,Rock&#039;n Roll Kids,TV,Manga,42,Finished Airing
"Hanayaka Nari, Waga Ichizoku: Kinetograph",,OVA,Visual novel,2,Finished Airing
Kantai Collection: KanColle Zoku-hen,,TV,Card game,0,Not yet aired
Devilman: Crybaby - Digest Eizou,,ONA,Manga,1,Finished Airing
Okitegami Kyouko no Bibouroku x Monogatari,,ONA,Light novel,1,Finished Airing
Sakigake!! Cromartie Koukou,Cromartie High School,TV,Manga,26,Finished Airing
Tensei shitara Slime Datta Ken,,TV,Light novel,0,Not yet aired
Sore ga Seiyuu!,Seiyu&#039;s Life!,TV,Web manga,13,Finished Airing
Puchimas!!: Petit Petit iDOLM@STER,PUCHIM@S 2,ONA,4-koma manga,74,Finished Airing
Huckleberry no Bouken,,TV,Novel,26,Finished Airing
Korogashi Ryouta,,OVA,Unknown,3,Finished Airing
True Love Story,"True Love Story Summer Days, and yet...",OVA,Visual novel,3,Finished Airing
Space☆Dandy 2nd Season,Space Dandy 2nd Season,TV,Original,13,Finished Airing
Slayers Great,Slayers Movie 3,Movie,Light novel,1,Finished Airing
Big X Episode 0,,Special,Unknown,1,Finished Airing
JoJo no Kimyou na Bouken: Adventure,JoJo&#039;s Bizarre Adventure,OVA,Manga,7,Finished Airing
Mecha Robot Corps 3,,Movie,Unknown,1,Finished Airing
Words Worth,,OVA,Visual novel,5,Finished Airing
Mokei Senshi Gunpla Builders Beginning G,,Special,Unknown,3,Finished Airing
Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,OVA,Original,1,Finished Airing
Fujilog 2nd Season,,TV,Unknown,13,Finished Airing
Koi-ken!: Watashitachi Anime ni Nacchatta!,,ONA,Manga,12,Finished Airing
Yakyuubu Aruaru,,TV,Book,3,Finished Airing
Babel Nisei (OVA),Babel II,OVA,Unknown,4,Finished Airing
Bremen 4: Jigoku no Naka no Tenshi-tachi,Bremen 4,Special,Unknown,1,Finished Airing
Renshenguo,,Movie,Unknown,1,Finished Airing
Konpora Kid,,TV,Unknown,26,Finished Airing
Yume Tsukai,,TV,Manga,12,Finished Airing
Kanojo ga Flag wo Oraretara OVA,,OVA,Unknown,1,Finished Airing
Seisai,Perverse Investigations,OVA,Visual novel,2,Finished Airing
Two Down Full Base,,Special,Novel,1,Finished Airing
Okusama wa Joshikousei,,OVA,Unknown,1,Finished Airing
Goal FH: Field Hunter,Goal Field Hunter,TV,Manga,39,Finished Airing
Pink Lady Monogatari: Eikou no Tenshitachi Recaps,,Special,Unknown,2,Finished Airing
Bikkuriman Kids: Theme Fighter Nyander,,ONA,Other,4,Finished Airing
Kanon (2006),Kanon,TV,Visual novel,24,Finished Airing
Never Shined,Never Shined,Music,Music,1,Finished Airing
Yuuki no Baton,,Music,Music,1,Finished Airing
Argento Soma,,TV,Original,25,Finished Airing
Age Man to Fuku Chin,,OVA,Unknown,1,Finished Airing
Mahou no Idol Pastel Yumi,Magical Idol Pastel Yumi,TV,Original,25,Finished Airing
Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning,In The Beginning: The Bible Stories,TV,Unknown,26,Finished Airing
Musaigen no Phantom World,Myriad Colors Phantom World,TV,Light novel,13,Finished Airing
Al Caral no Isan,Legacy of Aru Kararu,OVA,Manga,1,Finished Airing
Mizuiro,,OVA,Visual novel,2,Finished Airing
"Suisei no Gargantia: Meguru Kouro, Haruka",Gargantia on the Verdurous Planet: Far Beyond the Voyage,OVA,Original,2,Finished Airing
Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,TV,Manga,94,Finished Airing
Samurai Deeper Kyou,Samurai Deeper Kyo,TV,Manga,26,Finished Airing
Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,,Movie,Original,1,Finished Airing
Shugo Chara!,Shugo Chara!,TV,Manga,51,Finished Airing
Barakamon,Barakamon,TV,Web manga,12,Finished Airing
Victorian Maid Maria no Houshi,,OVA,Original,1,Finished Airing
Uchuu no Senshi,Starship Troopers,OVA,Book,6,Finished Airing
Lupin III: Ikiteita Majutsushi,,OVA,Manga,1,Finished Airing
Jungle wa Itsumo Hare nochi Guu,Haré+Guu,TV,Manga,26,Finished Airing
Kawawawawawada,,Special,Original,1,Finished Airing
Mou Hitotsu no Mirai wo.,,ONA,Unknown,3,Finished Airing
Fushigi no Umi no Nadia,Nadia: Secret of Blue Water,TV,Original,39,Finished Airing
Chijoku Kankin,,OVA,Unknown,1,Finished Airing
Susie-chan to Marvy,Little Susie and Marvy,TV,Unknown,104,Finished Airing
Choro Q Dagram,,Movie,Unknown,1,Finished Airing
Oh! Family,,TV,Manga,26,Finished Airing
New Game!!,New Game!!,TV,4-koma manga,12,Finished Airing
Okaachan Gomen ne,,Movie,Unknown,1,Finished Airing
Mini Yon Soldier Rin!,,OVA,Unknown,1,Finished Airing
One Piece: Cry Heart,,Special,Manga,3,Finished Airing
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,".hack//Quantum: Go, Our Chim Chims!!",Special,Original,3,Finished Airing
CoCO & NiCO,,TV,Original,39,Finished Airing
Daisuki! BuBu ChaCha,I love BuBu ChaCha,TV,Original,26,Finished Airing
Digimon Adventure 02: Diablomon no Gyakushuu,Digimon Adventure 02: Revenge of Diaboromon,Movie,Original,1,Finished Airing
Dog Days&#039;,,TV,Original,13,Finished Airing
Najica Dengeki Sakusen,Najica Blitz Tactics,TV,Original,12,Finished Airing
Teinenpi Shoujo Haiji,,ONA,Unknown,8,Finished Airing
Zoobles!,,TV,Unknown,26,Finished Airing
Kaiketsu Zorori: Mahoutsukai no Deshi/Dai Kaizoku no Takara Sagashi,Kaiketsu Zorori Movie,Movie,Unknown,1,Finished Airing
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,Giant Robo the Animation: The Day the Earth Stood Still,OVA,Manga,7,Finished Airing
Mahou Shoujo Meruru,Magic Woman M,OVA,Unknown,2,Finished Airing
Ginga Tetsudou 999 (ONA),,ONA,Unknown,6,Finished Airing
Durarara!!x2 Ketsu: Dufufufu!!,Durarara!! x2 Ketsu: Dufufufu!!,Special,Light novel,1,Finished Airing
Gogo no Kouchou: Junai Mellow yori,,OVA,Manga,1,Finished Airing
Juugo Shounen Hyouryuuki,Adrift in the Pacific,Special,Novel,1,Finished Airing
Doukyuusei 2 (OVA) Special: Sotsugyousei,,OVA,Unknown,3,Finished Airing
Shiki Specials,Shiki Specials,Special,Novel,2,Finished Airing
My Melody no Akazukin (OVA),My Melody in Little Red Riding Hood,OVA,Unknown,1,Finished Airing
Yadosagashi,House Hunting,Special,Original,1,Finished Airing
Chiisana Kyojin Microman,,TV,Other,52,Finished Airing
Daisuki na Haha,,OVA,Digital manga,2,Not yet aired
Yatterman Specials,,Special,Unknown,2,Finished Airing
Tatakae! Osper,,TV,Unknown,52,Finished Airing
Kishin Heidan,Kishin Corps,OVA,Unknown,7,Finished Airing
Queen&#039;s Blade: Utsukushiki Toushitachi,Queen&#039;s Blade: Beautiful Warriors,OVA,Other,6,Finished Airing
Scrap Diary,,Movie,Original,1,Finished Airing
Kachou no Koi,,OVA,Manga,1,Finished Airing
Bernard-jou Iwaku.: Ofuro Dokusho,,Special,Manga,1,Finished Airing
Dekiru ka na,Dekirukana,ONA,Other,10,Finished Airing
Rolling☆Girls,The Rolling Girls,TV,Original,12,Finished Airing
"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",,OVA,4-koma manga,1,Finished Airing
Love es M The Animation,,OVA,Visual novel,1,Finished Airing
Spelunker Sensei,Spelunker Is a Teacher,OVA,4-koma manga,1,Finished Airing
Mesu Kyoushi 4: Kegasareta Kyoudan,,OVA,Visual novel,4,Finished Airing
Yami Shibai 3,Yamishibai: Japanese Ghost Stories 3,TV,Original,13,Finished Airing
Kantai Collection: KanColle,KanColle: Kantai Collection,TV,Card game,12,Finished Airing
Pi~hyara Kouta,,Music,Music,1,Finished Airing
Ane☆Haramix,,OVA,Visual novel,4,Finished Airing
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,Bleach the Movie: The DiamondDust Rebellion,Movie,Manga,1,Finished Airing
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,,Special,Manga,1,Finished Airing
Zettai Junshu☆Kyousei Kozukuri Kyokashou!!,,OVA,Visual novel,2,Finished Airing
Kita e.: Diamond Dust Drops,Diamond Daydreams,TV,Visual novel,12,Finished Airing
Kyoro-chan,,TV,Other,91,Finished Airing
Steins;Gate: Soumei Eichi no Cognitive Computing,,ONA,Visual novel,4,Finished Airing
Ookii 1 Nensei to Chiisana 2 Nensei,The Big First-Grader and the Small Second-Grader,Movie,Unknown,1,Finished Airing
Oda Nobuna no Yabou Recap,The Ambition of Oda Nobuna,Special,Unknown,1,Finished Airing
Docchi mo Maid,,ONA,Original,1,Finished Airing
Light Lag,,Music,Unknown,1,Finished Airing
Shitamachi Alien PapiPipiPupi,,ONA,Unknown,13,Finished Airing
Nui Nui Hinobori San Kyoudai,The Three Nui Nui Hinobori Brothers,ONA,Other,0,Currently Airing
Arakure Junichi no Namida,,ONA,Original,1,Finished Airing
Gekkan Shoujo Nozaki-kun,Monthly Girls&#039; Nozaki-kun,TV,4-koma manga,12,Finished Airing
Time Bokan: Gyakushuu no San Akunin,Time Bokan: The Villains Strike Back,TV,Original,24,Finished Airing
Shakugan no Shana Specials,,Special,Unknown,4,Finished Airing
One Piece: Taose! Kaizoku Ganzack,One Piece: Defeat the Pirate Ganzack!,OVA,Manga,1,Finished Airing
Bakuman. 2nd Season Special,,Special,Unknown,1,Finished Airing
Kaettekita Dr. Slump: Arale-chan Special,,Special,Manga,1,Finished Airing
Superflat First Love,,Special,Unknown,1,Finished Airing
Dr. Slump: Arale-chan,,TV,Manga,243,Finished Airing
Moegaku★5,,TV,Unknown,40,Finished Airing
Nezumi no Yomeiri,,Movie,Original,1,Finished Airing
Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey,,OVA,Unknown,13,Finished Airing
Sidonia no Kishi,Knights of Sidonia,TV,Manga,12,Finished Airing
Vampiyan Kids Specials,Vampiyan Kids,Special,Original,3,Finished Airing
Angel Beats!: Another Epilogue,,Special,Original,1,Finished Airing
Sex Pistols,,OVA,Manga,2,Finished Airing
Changjiang Qi Hao Ai Diqiu,CJ7: The Cartoon,Movie,Other,1,Finished Airing
Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu,,ONA,Unknown,14,Finished Airing
Hyoutan,The Gourd-Bottle,Movie,Unknown,1,Finished Airing
Robot Taekwon V wa Hwanggeum Nalgae,,Movie,Unknown,1,Finished Airing
Makaryuudo Demon Hunter,,OVA,Unknown,1,Finished Airing
Grisaia no Kajitsu,The Fruit of Grisaia,TV,Visual novel,13,Finished Airing
Binkan Athlete,,OVA,Visual novel,1,Finished Airing
Inazuma Eleven Go vs. Danball Senki W Movie,,Movie,Unknown,1,Finished Airing
Bleach: Memories in the Rain,Bleach: Memories in the Rain,Special,Manga,1,Finished Airing
Nabari no Ou,Nabari no Ou,TV,Manga,26,Finished Airing
Star☆Jewel,,OVA,Original,1,Finished Airing
InuYasha: Tenka Hadou no Ken,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Manga,1,Finished Airing
Samurai Spirits 2: Asura Zanmaden,Samurai Spirits 2,OVA,Game,2,Finished Airing
Studio Khara vs. CyberConnect2 Gachinko! Animation Taiketsu!,,ONA,Unknown,2,Finished Airing
"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Rinyuuaru Daisakusen!! - Aa, Om",,Special,Manga,1,Finished Airing
Girls & Panzer Movie,Girls und Panzer der Film,Movie,Original,1,Finished Airing
"Arano no Sakebi Koe: Hoero, Buck",The Call of the Wild,Special,Novel,1,Finished Airing
Nissin no Donbei x Kemono Friends,,ONA,Original,1,Finished Airing
"Yakeato no, Okashi no Ki",,Special,Unknown,1,Finished Airing
Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,,OVA,Unknown,3,Finished Airing
Psycho Diver: Mashou Bosatsu,Psycho Diver: Soul Siren,OVA,Unknown,1,Finished Airing
Karneval (TV) Specials,,Special,Unknown,11,Finished Airing
Black Clover: Jump Festa 2016 Special,,Special,Manga,1,Finished Airing
Shen Ming Zhi Zhou,,ONA,Manga,12,Finished Airing
Gloria: Kindan no Ketsuzoku,Gloria,OVA,Unknown,3,Finished Airing
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,,Movie,Unknown,1,Finished Airing
Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,,OVA,Unknown,1,Finished Airing
YanYan Machiko Specials,,Special,Original,5,Finished Airing
Psycho-Pass,Psycho-Pass,TV,Original,22,Finished Airing
Pyun Pyun Maru,,TV,Unknown,26,Finished Airing
Kaiketsu Zorori: Mamoru ze! Kyouryuu no Tamago,,Movie,Unknown,1,Finished Airing
Kuruneko,,TV,Manga,50,Finished Airing
Fate/Grand Order CMs,Fate/Grand Order,Special,Game,0,Currently Airing
Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Soushuuhen,,ONA,Original,1,Finished Airing
Dive!!,DIVE!!,TV,Novel,12,Finished Airing
Tide-Line Blue,,TV,Original,12,Finished Airing
Yoru no Okite,A Rule Of Dreams,Movie,Original,1,Finished Airing
Ginga Jinpuu Jinraiger,Galaxy Divine Wind Jinraiger,Unknown,Original,0,Not yet aired
Doraemon Movie 08: Nobita to Ryuu no Kishi,Doraemon the Movie: Nobita and the Knights on Dinosaurs,Movie,Unknown,1,Finished Airing
Sanzoku no Musume Ronja,Ronja Rövardotter,TV,Book,26,Finished Airing
Sengoku Night Blood,,TV,Game,12,Finished Airing
Triangle Heart: Sweet Songs Forever,,OVA,Unknown,4,Finished Airing
Yasashi-sa no Tamatebako,,Music,Original,1,Finished Airing
Witch Village Story Specials,,Special,Unknown,2,Finished Airing
A.I.C.O.: Incarnation,,ONA,Original,12,Finished Airing
Jokutsuma,Humiliated Wives,OVA,Visual novel,2,Finished Airing
Gakuentoshi Varanoir Joukan,,OVA,Game,2,Finished Airing
Soukou Kihei Votoms: Koei Futatabi,Armored Trooper Votoms: Alone Again,OVA,Original,1,Finished Airing
Happy World!,,OVA,Unknown,3,Finished Airing
Onna Kyoushi: Nikutai Jugyou,,OVA,Visual novel,2,Finished Airing
K: Missing Kings,K: Missing Kings,Movie,Original,1,Finished Airing
Kana Kana Kazoku: Shinnen no Goaisatsu,,ONA,Unknown,1,Finished Airing
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Doraemon the Movie: The Record of Nobita&#039;s Spaceblazer,Movie,Unknown,1,Finished Airing
Togainu no Chi,Togainu no Chi,TV,Visual novel,12,Finished Airing
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,,Movie,Light novel,1,Finished Airing
Hourou Musuko,Wandering Son,TV,Manga,11,Finished Airing
Area 88 Movie,,Movie,Manga,1,Finished Airing
Hoshi no Ko Poron,,TV,Unknown,260,Finished Airing
Ookami Shoujo to Kuro Ouji,Wolf Girl & Black Prince,TV,Manga,12,Finished Airing
Final Fantasy: Unlimited,,TV,Game,25,Finished Airing
Morita-san wa Mukuchi. Specials,,Special,4-koma manga,2,Finished Airing
Yutori-chan,,ONA,Original,25,Finished Airing
Hanabira,,Music,Music,1,Finished Airing
Mobile Suit Gundam ZZ: Gundam Frag.,,OVA,Unknown,2,Finished Airing
Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,,Special,Visual novel,1,Finished Airing
Maken-Ki! OVA,,OVA,Manga,2,Finished Airing
High School DxD OVA,,OVA,Light novel,2,Finished Airing
Kinyoubi no Yakusoku,,ONA,Original,1,Finished Airing
Shounen to Sakura,The Cherry Tree,OVA,Picture book,1,Finished Airing
Itsuka Tenma no Kuro Usagi,A Dark Rabbit has Seven Lives,TV,Light novel,12,Finished Airing
Tsurezure Children,Tsuredure Children,TV,4-koma manga,12,Finished Airing
Kyojin no Hoshi: Shukumei no Taiketsu,,Movie,Unknown,1,Finished Airing
Haru no Shikumi,The Mechanism of Spring,Movie,Original,1,Finished Airing
Duel Masters VSR,,TV,Original,51,Finished Airing
BAR Kiraware Yasai,,TV,4-koma manga,13,Finished Airing
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai - Kinyoubi no Ohayou,,Special,Music,1,Finished Airing
Immoral,,OVA,Visual novel,2,Finished Airing
"Boku no Imouto wa ""Osaka Okan"": Uchi no Oniichan wa Tokyo Rule",,Special,Original,1,Finished Airing
Hokuto no Ken: Raoh Gaiden Gekitou-hen,,Movie,Unknown,1,Finished Airing
Mizugumo Monmon,Water Spider Monmon,Movie,Original,1,Finished Airing
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,,Special,Manga,1,Finished Airing
Kamigami no Ki,Kamigami no Ki,TV,Original,16,Finished Airing
Kiniro no Corda: Blue♪Sky,La corda d&#039;oro: Blue♪Sky,TV,Visual novel,12,Finished Airing
Oira no Ski,My Ski Trip,Movie,Original,1,Finished Airing
Amefuri Kozou,,OVA,Manga,1,Finished Airing
Qui Shui Yi Yun,,ONA,Web manga,12,Finished Airing
Gosick,,TV,Light novel,24,Finished Airing
Mushi-Uta,Mushi-Uta,TV,Light novel,12,Finished Airing
Lunatic Night,,OVA,Unknown,3,Finished Airing
Twinkle Nora Rock Me!,,OVA,Manga,1,Finished Airing
Shougakusei no Yuukai Boushi: Yumi-chan Abunai yo!,,OVA,Unknown,1,Finished Airing
Kekkaku Yobou,Preventing Tuberculosis,Movie,Original,1,Finished Airing
Jyu Oh Sei,Jyu-Oh-Sei: Planet of the Beast King,TV,Manga,11,Finished Airing
Knyacki!,,TV,Unknown,0,Currently Airing
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",,Unknown,Light novel,0,Not yet aired
Tenchi Muyou! Ryououki 4th Season,,OVA,Original,4,Finished Airing
Kana Kana Kazoku,Kanakana Kazoku,ONA,Original,0,Currently Airing
Sakurasou no Pet na Kanojo,The Pet Girl of Sakurasou,TV,Light novel,24,Finished Airing
Hana to Alice: Satsujin Jiken,The Case of Hana & Alice,Movie,Original,1,Finished Airing
Ikoku Meiro no Croisée: Yune & Alice,La croisée dans un labyrinthe étranger: Yune & Alice,Special,Manga,7,Finished Airing
Busou Shinki OVA,,OVA,Unknown,1,Finished Airing
Onegai☆Twins,Please Twins,TV,Original,12,Finished Airing
Hakubo,Twilight,Movie,Original,1,Not yet aired
Aitsu to Lullaby: Suiyobi no Cinderella,,Movie,Manga,1,Finished Airing
Rasen Sokou no Dystopia,,OVA,Visual novel,2,Finished Airing
Sukui Agete Kurenai ka,,ONA,Original,1,Finished Airing
Battle Athletess Daiundoukai (TV),Battle Athletes Victory,TV,Original,26,Finished Airing
77Danui Bimil,,Movie,Unknown,1,Finished Airing
Karakuri Kengou Den Musashi Lord,"Musashi, the Samurai Lord",TV,Original,50,Finished Airing
Choujikuu Robo Meguru,,OVA,Original,1,Finished Airing
VitaminX Addiction,,OVA,Game,3,Finished Airing
Kowaremono The Animation,,OVA,Manga,1,Finished Airing
Yaiyai Mori no Comic,,ONA,Original,15,Finished Airing
Yakyuukyou no Uta: Kita no Ookami Minami no Tora,,Movie,Unknown,1,Finished Airing
Apfelland Monogatari,Appleland Story,Movie,Novel,1,Finished Airing
Egao no Hana,,Music,Original,1,Finished Airing
Kaiba,,TV,Original,12,Finished Airing
Rokujouma no Shinryakusha!?,,Special,Light novel,1,Finished Airing
Days (TV): Touin Gakuen-sen!,,OVA,Manga,3,Currently Airing
Bakusou Kyoudai Let&#039;s & Go MAX,,TV,Manga,51,Finished Airing
Joshikousei: Girl&#039;s High Specials,High School Girls Specials,Special,Manga,3,Finished Airing
Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,,Movie,Manga,1,Finished Airing
Robin-kun to 100 nin no Otomodachi Season 2,Robin with his 100 Friends Season 2,TV,Unknown,13,Finished Airing
Peeping Life: The Perfect Evolution,,OVA,Original,10,Finished Airing
Shin Takarajima,,Special,Novel,1,Finished Airing
Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game,"The Prince of Tennis: The Two Samurai, The First Game",Movie,Manga,1,Finished Airing
Kaitou Jigoma Ongaku-hen,,Movie,Unknown,1,Finished Airing
Itsumademo Tabibito,,Music,Music,1,Finished Airing
Yoroiden Samurai Troopers,Ronin Warriors,TV,Unknown,39,Finished Airing
Koakuma Kanojo The Animation,,OVA,Manga,2,Finished Airing
ViVid Strike! Specials,,Special,Original,3,Finished Airing
Green Green OVA,,OVA,Visual novel,1,Finished Airing
Kotatsu Neko (ONA),,ONA,Unknown,2,Finished Airing
Yurumates 3D OVA,,OVA,Unknown,1,Finished Airing
Mame-Mofu Collab Animation,,ONA,Other,1,Finished Airing
Yarichin☆Bitch-bu,,OVA,Manga,0,Not yet aired
I Was King,,Music,Music,1,Finished Airing
Dennou Boukenki Webdiver,Brain Adventure Record Webdiver,TV,Original,52,Finished Airing
Yuusha Exkaiser,The Brave Fighter Exkizer,TV,Original,48,Finished Airing
Radiant,Radiant,TV,Manga,0,Not yet aired
Pokemon: Meloetta no Kirakira Recital,Pokemon: Meloetta&#039;s Moonlight Serenade,Movie,Game,1,Finished Airing
Hakuouki,Hakuoki ~Demon of the Fleeting Blossom~,TV,Visual novel,12,Finished Airing
Mori no Ongakukai,,Movie,Original,1,Finished Airing
Sushi Police,,TV,Original,13,Finished Airing
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,,TV,Manga,12,Finished Airing
Jungle de Ikou!,Jungle De Ikou!,OVA,Original,3,Finished Airing
Hand Maid Mai,,OVA,Original,1,Finished Airing
Mononoke Dance,,Music,Music,1,Finished Airing
Osaru no Sankichi: Totsugeki-tai,Sankichi the Monkey: The Storm Troopers,Movie,Original,1,Finished Airing
Penguin Musume♥Heart,Penguin Musume♥Heart,ONA,Manga,22,Finished Airing
Toshokan Sensou,Library Wars,TV,Novel,12,Finished Airing
Kyouryuu Daisensou Aizenborg,,TV,Original,39,Finished Airing
Maicching Machiko-sensei,Miss Machiko,TV,Manga,95,Finished Airing
"Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari",,Special,Original,1,Finished Airing
Taiho Shichau zo: Full Throttle,You&#039;re Under Arrest: Full Throttle,TV,Manga,23,Finished Airing
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,,OVA,Original,1,Finished Airing
Ghost in the Shell,Ghost in the Shell,Movie,Manga,1,Finished Airing
Sazae-san: Dawn to Ikka de Hawaii Ryokou,,Special,Unknown,1,Finished Airing
Ozmafia!! Special,,Special,Visual novel,1,Finished Airing
