title,title_english,type,source,episodes,status
Nanatsu no Bitoku,The Seven Heavenly Virtues,TV,Other,10,Finished Airing
Metropolis (2009),,Movie,Unknown,1,Finished Airing
Hai to Gensou no Grimgar Special,Grimgar: Ashes and Illusions Special,Special,Light novel,1,Finished Airing
Medamayaki no Kimi Itsu Tsubusu?,,Special,Manga,4,Finished Airing
Watashi no Ashinaga Ojisan Specials,,Special,Unknown,2,Finished Airing
Duel Masters Movie 1: Yami no Shiro no Maryuuou,,Movie,Original,1,Finished Airing
Bounty Dog: Getsumen no Ibu,,OVA,Original,2,Finished Airing
Hurricane Live! 2033,,Special,Unknown,7,Finished Airing
Densetsu no Yuusha no Densetsu: Iris Report,The Legend of the Legendary Heroes: Iris Report,Special,Unknown,1,Finished Airing
Aisai Nikki,,OVA,Visual novel,1,Finished Airing
Chikyuu Shoujo Arjuna,Arjuna,TV,Original,13,Finished Airing
Peeping Life 5.0ch,,OVA,Original,10,Finished Airing
K-On!!,K-ON! Season 2,TV,4-koma manga,26,Finished Airing
Haru wo Daite Ita,Embracing Love,OVA,Manga,2,Finished Airing
Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Pokemon 4D: Pikachu&#039;s Ocean Adventure,Movie,Game,1,Finished Airing
Soredemo Machi wa Mawatteiru,And Yet The Town Moves,TV,Manga,12,Finished Airing
Makkuro na Obentou,,Movie,Unknown,1,Finished Airing
Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,,Special,Original,1,Finished Airing
Scan2Go,Scan2Go,TV,Unknown,52,Finished Airing
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,,Movie,Unknown,1,Finished Airing
Shokuzai no Kyoushitsu,Classroom of Atonement,OVA,Unknown,2,Finished Airing
Majokko Shimai no Yoyo to Nene,Magical Sisters Yoyo & Nene,Movie,Manga,1,Finished Airing
Yuu☆Yuu☆Hakusho Special,,Special,Manga,1,Not yet aired
Bernard-jou Iwaku.,Miss Bernard said.,TV,Manga,12,Finished Airing
Himitsu no Akko-chan (Movie),,Movie,Unknown,1,Finished Airing
Calihara no Uta,,Movie,Original,1,Finished Airing
Aoi Umi no Tristia,,OVA,Visual novel,2,Finished Airing
Dae Jang Geum: Jang Geum&#039;s Dream,,TV,Other,26,Finished Airing
Space☆Dandy,Space Dandy,TV,Original,13,Finished Airing
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,,Movie,Unknown,1,Finished Airing
Ohi-sama to Kaeru,The Sun and the Frogs,Movie,Original,1,Finished Airing
Nanatsu no Taizai OVA,,OVA,Manga,2,Finished Airing
Ribbon no Kishi (1999),,Movie,Unknown,1,Finished Airing
Aoki Hagane no Arpeggio: Ars Nova,Arpeggio of Blue Steel -Ars Nova-,TV,Manga,12,Finished Airing
ClassicaLoid 2nd Season,ClassicaLoid 2,TV,Original,25,Finished Airing
Juvenile Pornography The Animation,,OVA,Manga,1,Finished Airing
Ichigo Ichie: Koibana Tomobana,,TV,Unknown,13,Finished Airing
Doraemon: Time Machine de Oshougatsu,,Special,Unknown,1,Finished Airing
Chirin no Suzu,Ringing Bell,Movie,Picture book,1,Finished Airing
MD Geist II: Death Force,,OVA,Unknown,1,Finished Airing
Re:Creators,Re:CREATORS,TV,Original,22,Finished Airing
Hajimari no Boukensha-tachi: Legend of Crystania,Legend of Crystania: The Motion Picture,Movie,Unknown,1,Finished Airing
Magical Music Train,,Music,Music,1,Finished Airing
Rekka no Honoo,Flame of Recca,TV,Manga,42,Finished Airing
Cosmic Fantasy: Ginga Mehyou no Wana,,OVA,Game,1,Finished Airing
Hibike! Euphonium,Sound! Euphonium,TV,Novel,13,Finished Airing
Gintama.: Shirogane no Tamashii-hen,,TV,Manga,12,Finished Airing
Gun-dou Musashi,Gun Samurai,TV,Original,26,Finished Airing
Yaseruyagi,,ONA,Original,1,Finished Airing
Galactic Patrol Lensman,,TV,Unknown,25,Finished Airing
Denki-gai no Honya-san,Denki-gai,TV,Manga,12,Finished Airing
MaxValu Kyushu,,Special,Original,1,Finished Airing
Uchi no 3 Shimai,,TV,Other,141,Finished Airing
Kuroko no Basket: Oshaberi Demo Shimasen ka,,Special,Unknown,1,Finished Airing
Cross Road,,Special,Original,1,Finished Airing
Hourou Musuko Specials,Wandering Son Specials,Special,Manga,2,Finished Airing
Koi to Uso OVA,Love and Lies,OVA,Manga,2,Not yet aired
Esper Mami: Hoshizora no Dancing Doll,,Movie,Unknown,1,Finished Airing
Carol & Tuesday,,TV,Original,0,Not yet aired
"Akai Shouzou: Char, Soshite Frontal e",Portrait of the Red,Special,Unknown,1,Finished Airing
Gakkatsu! 2nd Season,,TV,Unknown,25,Finished Airing
Tsuru no Sugomori,,Movie,Unknown,1,Finished Airing
Selector Infected WIXOSS,selector infected WIXOSS,TV,Card game,12,Finished Airing
Hane (2016),,Music,Music,1,Finished Airing
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,,TV,Manga,12,Finished Airing
Bannou Bunka Neko-Musume Specials,,Special,Unknown,2,Finished Airing
Ultra B,,TV,Manga,119,Finished Airing
Saint☆Oniisan (Movie),Saint☆Young Men (Movie),Movie,Manga,1,Finished Airing
Makai Tenshi Djibril,Jiburiru: The Devil Angel,OVA,Visual novel,4,Finished Airing
Supernatural The Animation,,OVA,Other,22,Finished Airing
Soukan Yuugi,Sexual Pursuit,OVA,Visual novel,2,Finished Airing
Andromeda Stories,,Special,Manga,1,Finished Airing
Houkago Initiation,,OVA,Manga,2,Finished Airing
ACCA: 13-ku Kansatsu-ka,ACCA: 13-Territory Inspection Dept.,TV,Manga,12,Finished Airing
Future GPX Cyber Formula: Early Days Renewal,,OVA,Unknown,2,Finished Airing
Dennou Sentai Voogie&#039;s★Angel Gaiden: Susume! Super★Angels!,,OVA,Unknown,2,Finished Airing
Gokuu no Daibouken,Adventures of the Monkey King,TV,Unknown,39,Finished Airing
Kitty to Daniel no Suteki na Christmas,,OVA,Unknown,1,Finished Airing
Alice to Zouroku,Alice & Zoroku,TV,Manga,12,Finished Airing
Micchiri Neko,Mitchiri Neko,TV,Web manga,13,Finished Airing
Slayers,Slayers,TV,Light novel,26,Finished Airing
Seikaisuru Kado,KADO: The Right Answer,TV,Original,12,Finished Airing
Dragon Ball Super,Dragon Ball Super,TV,Manga,131,Finished Airing
Genshiken Nidaime Specials,,Special,Unknown,4,Finished Airing
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,,TV,Unknown,12,Finished Airing
Shiro Hon,The White Book,TV,Unknown,6,Finished Airing
Yama no Susume,Encouragement of Climb,TV,Manga,12,Finished Airing
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,,OVA,Visual novel,4,Finished Airing
Princess Principal,Princess Principal,TV,Original,12,Finished Airing
Nyanpire The Animation,,TV,Manga,12,Finished Airing
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,,OVA,Visual novel,1,Finished Airing
Tenpou Ibun: Ayakashi Ayashi,Ghost Slayers Ayashi,TV,Original,25,Finished Airing
Pokopon no Yukai na Saiyuuki,,Movie,Original,1,Finished Airing
Persona 4 the Animation,Persona 4 the Animation,TV,Game,25,Finished Airing
Fate/stay night Movie: Unlimited Blade Works,Fate/stay night: Unlimited Blade Works,Movie,Visual novel,1,Finished Airing
Udauda Yatteru Hima wa Nee!,,OVA,Unknown,2,Finished Airing
Boku dake no Hentai Kanojo The Animation,,OVA,Manga,1,Finished Airing
Menghuan Xiyou,,ONA,Game,13,Finished Airing
Luv Wave,Luv Wave,OVA,Visual novel,3,Finished Airing
Lupin III: Seven Days Rhapsody,,Special,Unknown,1,Finished Airing
Sidonia no Kishi 3,Knights of Sidonia,Unknown,Manga,0,Not yet aired
Ski Jumping Pairs: Road to Torino 2006,,Movie,Unknown,1,Finished Airing
Nazotoki-hime wa Meitantei♥,,OVA,Manga,6,Finished Airing
Thermae Romae x LOFT Collaboration,,Special,Unknown,1,Finished Airing
Fairy Tail,Fairy Tail,TV,Manga,175,Finished Airing
Marvel Future Avengers,,TV,Other,26,Finished Airing
Chalk-iro no People,,OVA,Unknown,1,Finished Airing
Super Seisyun Brothers,,TV,Web manga,14,Finished Airing
Baku Ane: Otouto Shibocchau zo! The Animation,,OVA,Visual novel,1,Finished Airing
Sei Shoujo The Animation,,OVA,Visual novel,1,Finished Airing
Ryoujoku Guerrilla Kari 3,,OVA,Visual novel,2,Finished Airing
Ore ga Kanojo wo *su Wake,,OVA,Original,0,Currently Airing
Seto no Hanayome Fan Disc,,Special,Manga,2,Finished Airing
Momo Kyun Sword,Momokyun Sword,TV,Light novel,12,Finished Airing
Bust to Bust: Chichi wa Chichi ni,,OVA,Manga,3,Finished Airing
Onara Gorou,,TV,Original,13,Finished Airing
A-Size Classmate,,OVA,Manga,2,Finished Airing
Taikong Lixianji,Astro Plan,TV,Original,26,Finished Airing
Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,TV,Original,12,Finished Airing
Go! Go! 575,,TV,Game,4,Finished Airing
Daybreak Interlude,Daybreak Interlude,Music,Game,1,Finished Airing
Mezzo Forte,,OVA,Original,2,Finished Airing
Shirahata no Shoujo Ryuuko,,Movie,Unknown,1,Finished Airing
Master Keaton,,TV,Manga,24,Finished Airing
Choujin Densetsu Urotsukidouji: Mirai-hen,Urotsukidoji III: Return of the Overfiend,OVA,Unknown,4,Finished Airing
Shoujo kara Shoujo e...,,OVA,Manga,2,Finished Airing
Angel&#039;s Feather,Angel&#039;s Feather,OVA,Visual novel,2,Finished Airing
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",,OVA,Manga,1,Finished Airing
Platonic Chain: Ansatsu Jikkouchuu,,Special,Novel,1,Finished Airing
Shugo Chara! Party!,,TV,Manga,25,Finished Airing
Devilman Memorial,,OVA,Manga,1,Finished Airing
Working&#039;!!,Wagnaria!!2,TV,4-koma manga,13,Finished Airing
Haikara-san ga Tooru,Smart-san,TV,Manga,42,Finished Airing
Henbou Moral Hazard,,OVA,Unknown,1,Finished Airing
Dolphin Ouji,,TV,Unknown,3,Finished Airing
Samayou Midara na Lunatics,,OVA,Visual novel,2,Finished Airing
Pochacco no Jack to Mame no Ki,Pochacco in Jack and the Beanstalk,OVA,Unknown,1,Finished Airing
Nintama Rantarou Movie,,Movie,Unknown,1,Finished Airing
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Naruto: The Lost Story - Mission: Protect the Waterfall Village,Special,Manga,1,Finished Airing
Meshimase Lodoss-tou Senki: Sorette Oishii no?,,TV,Unknown,13,Finished Airing
Dragon Ball Specials,Dragon Ball Specials,Special,Manga,2,Finished Airing
Treasure Gaust,,TV,Unknown,5,Finished Airing
Ar:pieL - 6-seosgaeui Unmyeong,,ONA,Game,11,Not yet aired
Petit Eva: Evangelion@School,,ONA,Original,24,Finished Airing
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,,Special,Unknown,1,Finished Airing
Binan Koukou Chikyuu Boueibu LOVE!,Cute High Earth Defense Club LOVE!,TV,Original,12,Finished Airing
Tatamp,,Movie,Unknown,1,Finished Airing
Gongnyong Baengmannyeon Ttori,One Million Year Dinosaur Dddli,Movie,Unknown,1,Finished Airing
Ghiblies,,Special,Original,2,Finished Airing
WWW.Working!!,WWW.WAGNARIA!!,TV,Web manga,13,Finished Airing
Balloon,,ONA,Original,1,Finished Airing
Girlfriend (Note),Girl Friend Note,ONA,Game,3,Finished Airing
Yamiyo no Jidaigeki,,Special,Unknown,2,Finished Airing
Shin Mitsubachi Maya no Bouken,,TV,Unknown,52,Finished Airing
R.O.D the TV,R.O.D -The TV-,TV,Light novel,26,Finished Airing
Mahou no Star Magical Emi: Finale! Finale!,,OVA,Original,1,Finished Airing
Osamishi Tani no Wakare Uta,,Movie,Original,1,Finished Airing
Kuroko no Basket: Baka ja Katenai no yo!,Kuroko&#039;s Basketball OVA,OVA,Unknown,1,Finished Airing
Hacka Doll The Animation,Hackadoll The Animation,TV,Other,13,Finished Airing
Dr. Slump: Arale-chan Specials,,Special,Manga,2,Finished Airing
Ranma ½: 1994 Music Calendar,,OVA,Unknown,1,Finished Airing
Yami no Purple Eye,Purple Eyes in the Dark,Music,Manga,1,Finished Airing
Anime Koukyoushi: Jungle Taitei,,OVA,Unknown,1,Finished Airing
Akai Koudan Zillion: Utahime Yakyoku,Zillion: Burning Night,Special,Unknown,1,Finished Airing
Sore Ike! Anpanman: Kirakira Boshi no Namida,Go! Anpanman: The Shining Star&#039;s Tear,Movie,Unknown,1,Finished Airing
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,,Movie,Unknown,1,Finished Airing
Nezumi-kun no Chokki,,OVA,Unknown,4,Finished Airing
Defend Love,,Music,Unknown,1,Finished Airing
Apache Yakyuugun,Apache Baseball Team,TV,Manga,26,Finished Airing
Good Morning!!! Doronjo,,TV,Original,243,Finished Airing
Kiss x Sis (TV),,TV,Manga,12,Finished Airing
Koto no Shidai,The State of Things,Music,Original,1,Finished Airing
Ganbare! Marine Kid,Marine Boy,TV,Unknown,13,Finished Airing
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,Kanojo x Kanojo x Kanojo,OVA,Visual novel,3,Finished Airing
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,,Special,Manga,1,Finished Airing
Tick Tock,,Music,Music,1,Finished Airing
Kanzen Mushusei: Sorezore no Houkago,,OVA,Unknown,1,Finished Airing
Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,,ONA,Original,1,Finished Airing
Yakin Byoutou Ni,,OVA,Visual novel,5,Finished Airing
Tennis no Ouji-sama,The Prince of Tennis,TV,Manga,178,Finished Airing
Egao,,Music,Original,1,Finished Airing
Raldessia Chronicles,Raldessia Chronicles,ONA,Game,1,Finished Airing
Gunnm,Battle Angel Alita,OVA,Manga,2,Finished Airing
Velvet Underworld: Alternative,,Music,Original,1,Finished Airing
Ukkari Pénélope (2009),,TV,Unknown,26,Finished Airing
Akai Kiba: Blue Sonnet,Blue Sonnet,OVA,Manga,5,Finished Airing
The Aurora: Umi no Aurora,The Aurora,Movie,Unknown,1,Finished Airing
Kami nomi zo Shiru Sekai: Natsu-iro Surprise,,Music,Unknown,1,Finished Airing
Beat Shot!!,Watch Me Sink My Putz,OVA,Manga,1,Finished Airing
T7S Longing for Summer Again and Again: Harukaze,,Music,Game,1,Finished Airing
Detective Conan Movie 21: The Crimson Love Letter,,Movie,Manga,1,Finished Airing
Kakko Kawaii Sengen!,,TV,Original,5,Finished Airing
Punky Funky Baby,Punky Funky Baby,OVA,Unknown,1,Finished Airing
Na mo Nai Hana no Youni,,Music,Original,1,Finished Airing
Mechakko Dotakon,Mechanical Boy Dotakon,TV,Unknown,28,Finished Airing
Hello Kitty no Yume no Oshiro no Ouji-sama,Hello Kitty in The Prince in His Dream Castle,OVA,Unknown,1,Finished Airing
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,,OVA,Unknown,1,Finished Airing
Raja Maharaja,,Music,Music,1,Finished Airing
Ranma ½: DoCo Music Video,,OVA,Unknown,1,Finished Airing
Umbrella Fighter!,,Special,Original,4,Finished Airing
Akai Jitensha,,Music,Original,1,Finished Airing
Zhan Long Si Qu,Go For Speed,TV,Unknown,64,Finished Airing
Tang Lang Bu Chan,,Movie,Other,1,Finished Airing
To Heart 2 AD Plus,,OVA,Unknown,2,Finished Airing
Donna Donna,,Music,Music,1,Finished Airing
Gundress,,Movie,Unknown,1,Finished Airing
Ojamajo Doremi Dokkaan!,Useless Witch Doremi Kaboom!,TV,Unknown,51,Finished Airing
Danna ga Nani wo Itteiru ka Wakaranai Ken,I Can&#039;t Understand What My Husband Is Saying,TV,4-koma manga,13,Finished Airing
Igano Kabamaru,,TV,Manga,24,Finished Airing
Mobile Suit Gundam Unicorn RE:0096,Mobile Suit Gundam Unicorn RE:0096,TV,Novel,22,Finished Airing
Hataraku Maou-sama!,The Devil is a Part-Timer!,TV,Light novel,13,Finished Airing
Shin Maple Town Monogatari: Palm Town-hen - Konnichiwa! Atarashii Machi,,Movie,Unknown,1,Finished Airing
D.C.II S.S.: Da Capo II Second Season,,TV,Visual novel,13,Finished Airing
Kurogane no Linebarrels Picture Drama,,Special,Manga,9,Finished Airing
Landscape,,Movie,Original,1,Finished Airing
Only You: Viva! Cabaret Club,,TV,Unknown,15,Finished Airing
Bakuretsu Tenshi: Infinity,,OVA,Original,1,Finished Airing
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,,Special,Manga,1,Finished Airing
Dominion,,OVA,Manga,4,Finished Airing
Darker than Black: Kuro no Keiyakusha,Darker than Black,TV,Original,25,Finished Airing
Teekyuu,Teekyu,TV,Manga,12,Finished Airing
Aoi Bungaku Series,,TV,Novel,12,Finished Airing
Glass no Kamen Desu ga to Z,,TV,Unknown,14,Finished Airing
Mofa Ya Ma,Grandma and Her Ghosts,Movie,Unknown,1,Finished Airing
Natsuyuki Rendezvous,Natsuyuki Rendezvous,TV,Manga,11,Finished Airing
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,Movie,Original,1,Finished Airing
Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,Moonlight Pierce,OVA,Light novel,1,Finished Airing
Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,,OVA,Unknown,1,Finished Airing
Mai-Otome Special: Otome no Inori,,Special,Original,1,Finished Airing
Bakuretsu Hunters OVA,Sorcerer Hunters,OVA,Manga,3,Finished Airing
Ontama!,,ONA,Manga,5,Finished Airing
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),Classroom of the Elite,TV,Light novel,12,Finished Airing
Obake no Q-tarou,,TV,Unknown,96,Finished Airing
Mikan-Seijin,Extraterrestrial Oranges,TV,Unknown,26,Finished Airing
BOY&#039;s LOVE Nitro+CHiRAL,BOY&#039;s LOVE Nitro+CHiRAL,ONA,Game,5,Finished Airing
Aachi wa Ssipak,Aachi and Ssipak,Movie,Unknown,1,Finished Airing
Xiao Yeyou,Little Yeyos,ONA,Other,1,Finished Airing
Balloon (Music),,Music,Music,1,Finished Airing
Douluo Dalu,,ONA,Novel,26,Currently Airing
Ao no Exorcist Movie Special,,Special,Unknown,1,Finished Airing
Kore ga UFO da! Soratobu Enban,That is an UFO! The Flying Saucer,Movie,Original,1,Finished Airing
Notari Matsutarou,,OVA,Unknown,10,Finished Airing
Patalliro! Stardust Keikaku,,Movie,Unknown,1,Finished Airing
Buta,,Movie,Unknown,1,Finished Airing
Soukou Kijo Iris,,OVA,Visual novel,4,Finished Airing
Alice Tantei Kyoku,,TV,Original,56,Finished Airing
Arakawa Under the Bridge x Bridge,Arakawa Under the Bridge x Bridge,TV,Manga,13,Finished Airing
Shoujo☆Kageki Revue Starlight,,TV,Original,0,Not yet aired
Weiß Kreuz Glühen,Knight Hunters Eternity,TV,Unknown,13,Finished Airing
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,,Movie,Light novel,1,Finished Airing
Reideen,Reideen,TV,Unknown,26,Finished Airing
Tenchi Muyou! Ryououki 3rd Season Picture Drama,,Special,Original,5,Finished Airing
Yuuto-kun ga Iku Movie,,Movie,Unknown,1,Finished Airing
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,,OVA,Manga,2,Finished Airing
Shin Strange+ Special,,Special,Manga,1,Finished Airing
Joukyou Monogatari,Tyo Story,Movie,Unknown,1,Finished Airing
School Days,School Days,TV,Visual novel,12,Finished Airing
Gaist Crusher,,TV,Game,51,Finished Airing
Initial D Fourth Stage,,TV,Manga,24,Finished Airing
Kagee Grimm Douwa,,TV,Unknown,52,Finished Airing
Ningyohime Marina no Bouken,Saban&#039;s Adventures of the Little Mermaid,TV,Unknown,26,Finished Airing
Aru Zombie Shoujo no Sainan,,Special,Light novel,1,Finished Airing
Hetalia Axis Powers,Hetalia Axis Powers,ONA,Web manga,52,Finished Airing
Mugen Kouro,,ONA,Game,4,Finished Airing
Wind: A Breath of Heart (TV),,TV,Visual novel,13,Finished Airing
Pochacco no Wakuwaku Birthday,Pochacco in Exciting Birthday,OVA,Unknown,1,Finished Airing
Mahoutsukai Tai! vs. Shamanic Princess,,OVA,Unknown,1,Finished Airing
Kitty-chan wo Sagase! Toyama-shi Stamp Rally,Toyama City Stamp Rally: The Search for Hello Kitty!,ONA,Other,1,Finished Airing
